5,	8.220000,	0.050000,	0.060000,	0.060000,	0.050000
10,	18.400000,	0.100000,	0.110000,	0.790000,	0.100000
15,	28.650000,	0.150000,	0.160000,	3.990000,	0.150000
20,	38.850000,	0.200000,	0.210000,	10.340000,	0.200000
25,	49.050000,	0.250000,	0.260000,	19.970000,	0.250000
30,	59.200000,	0.300000,	0.310000,	32.480000,	0.300000
35,	69.450000,	0.350000,	0.360000,	46.710000,	0.350000
40,	79.650000,	0.400000,	0.410000,	62.680000,	0.400000
45,	89.850000,	0.450000,	0.460000,	80.450000,	0.450000
50,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
55,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
60,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
65,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
70,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
75,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
80,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
85,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
90,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
95,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
100,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
